Dataset,Model,Method,Brier,ECE
iranian,CatBoost,Platt (sigmoid),0.0290 ± 0.0039,0.0291 ± 0.0042
iranian,CatBoost,Isotonic,0.0283 ± 0.0027,0.0203 ± 0.0065
iranian,Explainable Boosting Machine,Raw (uncalibrated),0.0455 ± 0.0025,0.0211 ± 0.0039
iranian,Explainable Boosting Machine,Platt (sigmoid),0.0475 ± 0.0025,0.0349 ± 0.0062
iranian,Explainable Boosting Machine,Isotonic,0.0458 ± 0.0025,0.0318 ± 0.0061
bank,Logistic Regression,Raw (uncalibrated),0.1359 ± 0.0033,0.0175 ± 0.0031
bank,Logistic Regression,Platt (sigmoid),0.1360 ± 0.0032,0.0184 ± 0.0035
bank,Logistic Regression,Isotonic,0.1360 ± 0.0035,0.0178 ± 0.0064
bank,Random Forest,Raw (uncalibrated),0.1021 ± 0.0026,0.0222 ± 0.0029
bank,Random Forest,Platt (sigmoid),0.1029 ± 0.0030,0.0309 ± 0.0060
bank,Random Forest,Isotonic,0.1020 ± 0.0026,0.0152 ± 0.0057
bank,XGBoost,Raw (uncalibrated),0.1007 ± 0.0027,0.0197 ± 0.0049
bank,XGBoost,Platt (sigmoid),0.1021 ± 0.0030,0.0370 ± 0.0052
bank,XGBoost,Isotonic,0.1011 ± 0.0028,0.0222 ± 0.0068
bank,LightGBM,Raw (uncalibrated),0.1016 ± 0.0026,0.0202 ± 0.0035
bank,LightGBM,Platt (sigmoid),0.1016 ± 0.0027,0.0201 ± 0.0033
bank,LightGBM,Isotonic,0.1017 ± 0.0027,0.0194 ± 0.0074
bank,CatBoost,Raw (uncalibrated),0.0993 ± 0.0029,0.0177 ± 0.0042
bank,CatBoost,Platt (sigmoid),0.1007 ± 0.0033,0.0316 ± 0.0039
bank,CatBoost,Isotonic,0.0995 ± 0.0028,0.0153 ± 0.0052
bank,Explainable Boosting Machine,Raw (uncalibrated),0.1064 ± 0.0030,0.0228 ± 0.0065
bank,Explainable Boosting Machine,Platt (sigmoid),0.1063 ± 0.0029,0.0215 ± 0.0060
bank,Explainable Boosting Machine,Isotonic,0.1064 ± 0.0028,0.0210 ± 0.0067
