Dataset,EMP mean,EMP sd,CI low,CI high,Seeds
telco,0.0497,0.0005,0.0492,0.0501,5
cell2cell,0.0352,0.0,0.0352,0.0353,5
ecommerce,0.0152,0.0015,0.0139,0.0165,5
iranian,0.0004,0.0003,0.0002,0.0007,5
bank,0.0317,0.0005,0.0313,0.0321,5
